,learning_rate,gamma,clip_range,ent_coef,n_steps,gae_lambda,randomization distribution,policy,network,tuned method,eval episodes,source reward,target reward
0,0.00043,0.987974,0.1328,0,2112,0.960129,"[[3.5, 6.5]]",MlpPolicy,mlp,grid,50,820.1402379400001,801.63656982
1,0.00043,0.987974,0.1328,0,2112,0.960129,"[[2.5, 6.0]]",MlpPolicy,mlp,grid,50,1061.3184747599998,735.14020414
2,0.00043,0.987974,0.1328,0,2112,0.960129,"[[4.0, 6.5]]",MlpPolicy,mlp,grid,50,1250.25466026,973.33339046
3,0.00043,0.987974,0.1328,0,2112,0.960129,"[[3.0, 6.0]]",MlpPolicy,mlp,grid,50,1625.74997886,889.2302462
4,0.00043,0.987974,0.1328,0,2112,0.960129,"[[3.0, 5.0]]",MlpPolicy,mlp,grid,50,1371.3529447399997,703.0923559199999
5,0.00043,0.987974,0.1328,0,2112,0.960129,"[[3.0, 4.0]]",MlpPolicy,mlp,grid,50,1140.70858764,981.6136669200001
6,0.00043,0.987974,0.1328,0,2112,0.960129,"[[1.5, 4.0]]",MlpPolicy,mlp,grid,50,1399.13311748,857.24916216
7,0.00043,0.987974,0.1328,0,2112,0.960129,"[[3.5, 6.0]]",MlpPolicy,mlp,grid,50,1608.14773764,889.2127726399999
8,0.00043,0.987974,0.1328,0,2112,0.960129,"[[3.0, 5.5]]",MlpPolicy,mlp,grid,50,1663.89581852,959.65782778
9,0.00043,0.987974,0.1328,0,2112,0.960129,"[[3.5, 5.0]]",MlpPolicy,mlp,grid,50,952.3156968199999,756.91981822
10,0.00043,0.987974,0.1328,0,2112,0.960129,"[[4.5, 6.0]]",MlpPolicy,mlp,grid,50,725.16538774,748.9635797
11,0.00043,0.987974,0.1328,0,2112,0.960129,"[[4.0, 7.0]]",MlpPolicy,mlp,grid,50,721.6522962399999,760.1034387999998
12,0.00043,0.987974,0.1328,0,2112,0.960129,"[[3.0, 4.5]]",MlpPolicy,mlp,grid,50,1543.9144889200002,746.2554958600001
13,0.00043,0.987974,0.1328,0,2112,0.960129,"[[1.0, 3.5]]",MlpPolicy,mlp,grid,50,1156.41046138,975.59917834
