,learning_rate,gamma,clip_range,ent_coef,n_steps,gae_lambda,randomization distribution,policy,network,tuned method,eval episodes,source reward,target reward
0,0.0007611500740899691,0.9403835953317288,0.13860252004910953,0,3392,0.9054921041250104,,mlp,emprical,grid,50,331.1201661,404.16294582
1,0.0003987419647855556,0.9203948994785782,0.1781977401208545,0,1088,0.9375013793808927,,mlp,emprical,grid,50,366.37382862000004,519.1516437
2,0.0005110810399887389,0.9550334441561676,0.19515524462378214,0,3968,0.9641922190396017,,mlp,emprical,grid,50,350.78639433999996,401.0157182
3,0.0005923128173032568,0.9482979891811979,0.21721733343732513,0,3584,0.9572766761249779,,mlp,emprical,grid,50,346.30899736,455.7200734999999
4,0.0003051022877313635,0.9697017738527566,0.18551872711612372,0,3648,0.9606033762066115,,mlp,emprical,grid,50,581.7475521399999,596.4605296799999
5,0.00041262221325184464,0.9017386875249311,0.2675014338394337,0,1728,0.9454319041419765,,mlp,emprical,grid,50,357.3679769,416.11203623999995
6,0.00022291995816394434,0.9348283161076857,0.14198547132686468,0,2112,0.9342452660062177,,mlp,emprical,grid,50,400.32725586,474.1433373
7,0.0006154842361159361,0.9386478702107878,0.27896541009913123,0,1600,0.949149062376267,,mlp,emprical,grid,50,378.77407177999993,475.45792902
8,0.0001373598906491594,0.9465176282269929,0.2703975767533472,0,2496,0.9852310825016404,,mlp,emprical,grid,50,564.10093522,398.22401324
9,0.0006821676235443976,0.9622160632288358,0.2792419399201207,0,2496,0.901798041948377,,mlp,emprical,grid,50,573.8664506,583.38008736
10,0.0002753585107327713,0.9881025871856316,0.10644848662332022,0,3072,0.9890784683960946,,mlp,emprical,grid,50,1588.2764868,911.98399424
11,0.00026581104204434486,0.9913628596253258,0.10134419595320418,0,3136,0.9898274568754125,,mlp,emprical,grid,50,1554.52696046,992.5068521800001
12,0.00023946927438596511,0.9971849619027024,0.1027978183764565,0,3072,0.9893262251373435,,mlp,emprical,grid,50,1194.2903305400002,1318.5061575599998
13,0.00018151618648371774,0.999375459187768,0.10159216144120971,0,2944,0.9779724240740675,,mlp,emprical,grid,50,1018.65557832,1095.01773778
14,0.00010971446434807956,0.9803878394634216,0.1285698731301272,0,3008,0.9737909291018236,,mlp,emprical,grid,50,586.4897612199999,582.72266204
15,0.00029795401609576834,0.9828901510330507,0.12232619106319689,0,2752,0.9888474675160318,,mlp,emprical,grid,50,713.09750806,569.92992678
16,0.00018773620837623956,0.9812548284785647,0.16367331451746747,0,4032,0.9754407699224013,,mlp,emprical,grid,50,1174.70405856,833.8092206999999
17,0.0003785395143883005,0.970974278985509,0.10292113667782585,0,3264,0.9785561651886995,,mlp,emprical,grid,50,616.82731116,577.63192072
18,0.000997566188311854,0.9912313634757062,0.15510224906145703,0,2112,0.9686080206837815,,mlp,emprical,grid,50,1615.0231477799998,875.3422724000001
