,learning_rate,gamma,clip_range,ent_coef,n_steps,gae_lambda,randomization distribution,policy,network,tuned method,eval episodes,source reward,target reward
0,0.000485,0.990101,0.107607,0,1472,0.963952,"[[3.5, 6.5]]",MlpPolicy,mlp,grid,50,1588.4936120000002,998.55409042
1,0.000485,0.990101,0.107607,0,1472,0.963952,"[[2.5, 6.0]]",MlpPolicy,mlp,grid,50,1396.58614418,788.66958644
2,0.000485,0.990101,0.107607,0,1472,0.963952,"[[4.0, 6.5]]",MlpPolicy,mlp,grid,50,1422.43543606,922.4542401
3,0.000485,0.990101,0.107607,0,1472,0.963952,"[[3.0, 6.0]]",MlpPolicy,mlp,grid,50,1548.2330538200001,1320.6048465200001
4,0.000485,0.990101,0.107607,0,1472,0.963952,"[[3.0, 5.0]]",MlpPolicy,mlp,grid,50,1586.60635664,1618.14564804
5,0.000485,0.990101,0.107607,0,1472,0.963952,"[[3.0, 4.0]]",MlpPolicy,mlp,grid,50,1651.0637785,1316.26873306
6,0.000485,0.990101,0.107607,0,1472,0.963952,"[[1.5, 4.0]]",MlpPolicy,mlp,grid,50,982.81445252,762.0294227799999
7,0.000485,0.990101,0.107607,0,1472,0.963952,"[[3.5, 6.0]]",MlpPolicy,mlp,grid,50,1707.4531519000002,1610.0402056799999
8,0.000485,0.990101,0.107607,0,1472,0.963952,"[[3.0, 5.5]]",MlpPolicy,mlp,grid,50,1046.04412866,941.6753712
9,0.000485,0.990101,0.107607,0,1472,0.963952,"[[3.5, 5.0]]",MlpPolicy,mlp,grid,50,1636.1618858199997,1197.31908058
10,0.000485,0.990101,0.107607,0,1472,0.963952,"[[4.5, 6.0]]",MlpPolicy,mlp,grid,50,1519.5814498400002,721.8946429800001
11,0.000485,0.990101,0.107607,0,1472,0.963952,"[[4.0, 7.0]]",MlpPolicy,mlp,grid,50,1462.6361693,1489.05039352
12,0.000485,0.990101,0.107607,0,1472,0.963952,"[[3.0, 4.5]]",MlpPolicy,mlp,grid,50,1649.0887738200001,1524.45232376
13,0.000485,0.990101,0.107607,0,1472,0.963952,"[[1.0, 3.5]]",MlpPolicy,mlp,grid,50,1636.6543786,1161.27761592
14,0.000485,0.990101,0.107607,0,1472,0.963952,"[[4.5, 6.5]]",MlpPolicy,mlp,grid,50,766.9921718600001,703.7251278800001
