,learning_rate,gamma,clip_range,ent_coef,n_steps,gae_lambda,randomization distribution,policy,network,tuned method,eval episodes,source reward,target reward
0,0.000408,0.990761,0.100542,0,1920,0.958415,"[[3.5, 6.5]]",MlpPolicy,mlp,grid,50,1680.8285455200003,1710.58213642
1,0.000408,0.990761,0.100542,0,1920,0.958415,"[[2.5, 6.0]]",MlpPolicy,mlp,grid,50,1560.61200546,1000.1862420399999
2,0.000408,0.990761,0.100542,0,1920,0.958415,"[[4.0, 6.5]]",MlpPolicy,mlp,grid,50,954.0370941799999,743.5383891600001
3,0.000408,0.990761,0.100542,0,1920,0.958415,"[[3.0, 6.0]]",MlpPolicy,mlp,grid,50,1517.4869300999999,892.6550990799999
4,0.000408,0.990761,0.100542,0,1920,0.958415,"[[3.0, 5.0]]",MlpPolicy,mlp,grid,50,1529.6002803800002,1065.14420282
5,0.000408,0.990761,0.100542,0,1920,0.958415,"[[3.0, 4.0]]",MlpPolicy,mlp,grid,50,1522.7840036800003,1082.4212753400002
6,0.000408,0.990761,0.100542,0,1920,0.958415,"[[1.5, 4.0]]",MlpPolicy,mlp,grid,50,1613.6126711600002,866.9893045799998
7,0.000408,0.990761,0.100542,0,1920,0.958415,"[[3.5, 6.0]]",MlpPolicy,mlp,grid,50,1577.37956566,970.4396243000001
8,0.000408,0.990761,0.100542,0,1920,0.958415,"[[3.0, 5.5]]",MlpPolicy,mlp,grid,50,1523.4542634,842.3040235599999
9,0.000408,0.990761,0.100542,0,1920,0.958415,"[[3.5, 5.0]]",MlpPolicy,mlp,grid,50,1239.02889086,702.1306731400001
10,0.000408,0.990761,0.100542,0,1920,0.958415,"[[4.5, 6.0]]",MlpPolicy,mlp,grid,50,1490.75840238,851.95108802
11,0.000408,0.990761,0.100542,0,1920,0.958415,"[[4.0, 7.0]]",MlpPolicy,mlp,grid,50,1614.8271984000003,1604.8710756600003
12,0.000408,0.990761,0.100542,0,1920,0.958415,"[[3.0, 4.5]]",MlpPolicy,mlp,grid,50,1733.7259875999998,1267.14193316
13,0.000408,0.990761,0.100542,0,1920,0.958415,"[[1.0, 3.5]]",MlpPolicy,mlp,grid,50,1334.03372018,954.67837524
14,0.000408,0.990761,0.100542,0,1920,0.958415,"[[4.5, 6.5]]",MlpPolicy,mlp,grid,50,1462.6795618,744.672079
15,0.000408,0.990761,0.100542,0,1920,0.958415,"[[4.5, 8.0]]",MlpPolicy,mlp,grid,50,1594.8704746200006,1662.6127084799998
16,0.000408,0.990761,0.100542,0,1920,0.958415,"[[1.5, 5.0]]",MlpPolicy,mlp,grid,50,1511.6057171999998,1421.58023946
